Wavenumber,Weighted_Sum
403.788,0.0530991514833767
408.15,0.05473578316580596
412.511,0.0538052008714994
416.867,0.05464533097873234
421.217,0.05731211991977412
425.563,0.0620070308896751
429.907,0.06789240628607758
434.245,0.0715537917229815
438.581,0.07218642277230708
442.91,0.06744625565444819
447.238,0.06192496832553192
451.561,0.05717102663460734
455.88,0.055618535124422955
460.194,0.054950525153555925
464.505,0.05447657299301803
468.812,0.05581502603742636
473.113,0.05582818138364835
477.412,0.057082535806768475
481.707,0.05888785223464803
485.998,0.06153024805121392
490.282,0.06413761675021816
494.565,0.06695635352476541
498.844,0.06747340670013091
503.116,0.06605605008287965
507.389,0.06608799360410042
511.654,0.0666424883423467
515.916,0.07029219870819835
520.173,0.07381098662646621
524.427,0.07812380981556911
528.678,0.08254552501885641
532.922,0.08658173689941512
537.162,0.0899687563504742
541.399,0.08980141850106377
545.633,0.0840769851967935
549.864,0.08237691190408376
554.088,0.0777289189079771
558.309,0.07527059304393505
562.527,0.07233075332218096
566.742,0.06845238428983814
570.948,0.06579291126269632
575.155,0.06403740814383842
579.356,0.05868613379707405
583.552,0.05793641053750567
587.743,0.05740872013829682
591.934,0.05659568340145812
596.118,0.05238481788977955
600.297,0.04827102771872891
604.474,0.04517778447686599
608.647,0.04112085201097121
612.814,0.03934535573325256
616.979,0.034066725757897064
621.138,0.033040654169238744
625.296,0.02916878105028702
629.447,0.02437989452906341
633.594,0.02165888278785972
637.738,0.021923133035690014
641.88,0.021364330737493876
646.013,0.019636925548048103
650.145,0.018355373246463965
654.275,0.01683898456274119
658.397,0.015776531717613146
662.515,0.015478030920742375
666.634,0.015793712942664795
670.742,0.013196988010695045
674.851,0.012931433389005846
678.953,0.011360323820369196
683.052,0.009714591429545916
687.147,0.009793697362354685
691.238,0.010116122472614154
695.326,0.011189213213405404
699.407,0.011464886329226712
703.487,0.010302612461203703
707.561,0.009574422791723724
711.633,0.0071568519602177695
715.699,0.005650111770580694
719.761,0.0038249320878379215
723.819,0.0029281790841051377
727.874,0.002586563386627848
731.921,0.003065040067002808
735.97,0.0037788339332012213
740.011,0.004359308106933079
744.049,0.004066018166347903
748.082,0.004653896029089402
752.112,0.004649881690470824
756.138,0.003697782700186868
760.159,0.003876656421563056
764.175,0.0046977539729973535
768.19,0.004866944599292844
772.199,0.004184694618959558
776.204,0.0033215781566587835
780.204,0.004257789884374346
784.202,0.003530675966958721
788.196,0.003243552744822091
792.184,0.0034875595204237417
796.168,0.004598747621202347
800.151,0.006530740871316311
804.126,0.007888695521774848
808.098,0.007857727313924475
812.067,0.008696020760385824
816.031,0.009871181931234341
819.991,0.009955158939254454
823.95,0.009197771416355291
827.902,0.009513100163534313
831.85,0.013560991165337554
835.793,0.024191736913418665
839.735,0.03507394651862319
843.669,0.02664234514790156
847.601,0.016975098960962078
851.528,0.022630877356387354
855.452,0.03261624167906409
859.372,0.0236984457982576
863.287,0.012366463761464401
867.197,0.011622849326882184
871.106,0.010932507688151696
875.008,0.009016685364564719
878.909,0.00796640104484602
882.803,0.007074806851950981
886.692,0.007274876379937251
890.58,0.007555930608430393
894.465,0.010165660479535751
898.342,0.014988794831954047
902.217,0.023893778390494724
906.086,0.035146755725931234
909.952,0.04136775418076858
913.815,0.03866165551026672
917.673,0.03030737764410407
921.529,0.021906925947973506
925.378,0.018401443638132543
929.226,0.015551423691060733
933.066,0.014367228463970688
936.903,0.014212369734584014
940.736,0.014001469297913988
944.568,0.014283479954458899
948.394,0.014623656776028936
952.216,0.014857766209524488
956.031,0.015116602318975951
959.847,0.016090906561366178
963.655,0.01769644267652719
967.459,0.021287230255638608
971.262,0.02590378526421013
975.059,0.03234063717039922
978.85,0.0388621934391096
982.64,0.03954428155159774
986.425,0.035258476391661554
990.206,0.028905412536256715
993.982,0.01929571038545281
997.756,0.05703432969791106
1001.52,0.0539645391966898
1005.29,0.013599653325756859
1009.05,0.017987650360955166
1012.8,0.02107126007955072
1016.56,0.020320600056036205
1020.3,0.020564502721660053
1024.05,0.019615038087614015
1027.79,0.019307084528068653
1031.52,0.02121663066044914
1035.26,0.025003422708992206
1038.98,0.02893567514871135
1042.71,0.032881065654667786
1046.43,0.037931172715849414
1050.14,0.03954268037919079
1053.85,0.04076034947258709
1057.56,0.04319530835952288
1061.26,0.045335292895410266
1064.96,0.05044454522488276
1068.66,0.05781251894003962
1072.35,0.06441215802734908
1076.04,0.06815828649895997
1079.72,0.06889015050656197
1083.4,0.06776984391965861
1087.07,0.06551744970307428
1090.74,0.06565077180510857
1094.41,0.06578423177614855
1098.07,0.0687048407822779
1101.73,0.06904987915394216
1105.38,0.06872791922532251
1109.03,0.06632666032478476
1112.68,0.06427881125388933
1116.32,0.06059116801269591
1119.96,0.058239171485646626
1123.59,0.05662243288768333
1127.23,0.055584754235027296
1130.85,0.05409639080270494
1134.47,0.046582730909607364
1138.09,0.04018980830434772
1141.7,0.03586196086296944
1145.31,0.03259991041621856
1148.92,0.028719025277864244
1152.52,0.02309785865079862
1156.12,0.020531308759838683
1159.71,0.016906455234455685
1163.3,0.013965620993396745
1166.88,0.011461453698923542
1170.46,0.010088865303805488
1174.04,0.008487414937551166
1177.61,0.006295255527874584
1181.18,0.0074424766244246335
1184.75,0.007746769656553295
1188.31,0.0076868878413137234
1191.86,0.008835305937677418
1195.42,0.009572719792157677
1198.97,0.008137047527475922
1202.51,0.006216083847624681
1206.05,0.004748336082047849
1209.59,0.004311731573385369
1213.12,0.003530824319713298
1216.65,0.0040141847833317324
1220.17,0.00490905701849803
1223.69,0.009469152287066617
1227.21,0.01750466735486669
1230.72,0.016340619889098122
1234.23,0.016351705012191395
1237.73,0.011945563519884834
1241.23,0.008416352579898853
1244.72,0.00786770643585451
1248.22,0.006382124976727557
1251.7,0.006464885494825775
1255.19,0.006185818334789348
1258.66,0.005975712261088203
1262.14,0.006517901115441338
1265.61,0.009471822790657511
1269.08,0.017645874083243914
1272.54,0.028523108798947483
1276.0,0.03223022864717007
1279.46,0.025309461467071765
1282.91,0.019217253102331702
1286.35,0.018538826598353243
1289.8,0.016507514987613797
1293.24,0.014927614035971981
1296.67,0.014040842325996132
1300.1,0.01290041381742419
1303.53,0.011198926624771713
1306.95,0.008813889680342302
1310.37,0.00634353274106387
1313.78,0.005276083664082067
1317.19,0.004984770804000844
1320.6,0.008484132319779233
1324.0,0.012314530627993795
1327.4,0.016472649306565088
1330.79,0.02001607655606283
1334.18,0.022522530368664778
1337.57,0.024131645518926836
1340.95,0.02539943775553352
1344.33,0.026490223990795824
1347.7,0.027695332543071334
1351.07,0.027835818015627588
1354.44,0.027194529974806696
1357.8,0.0259380517080163
1361.16,0.02575999004878998
1364.51,0.025996724962684094
1365.83,0.026034717987003155
1369.47,0.025743451372958418
1373.1,0.025397236633767868
1376.73,0.02442861891929053
1380.36,0.022470447045933727
1383.99,0.021615824782600775
1387.61,0.019972600741814634
1391.23,0.015993027866114146
1394.84,0.013495744087575576
1398.46,0.011525373489426931
1402.07,0.009682978151561644
1405.67,0.008395701180634893
1409.27,0.006430032478847585
1412.87,0.005527914361094579
1416.46,0.004402393817083291
1420.05,0.003745381666591349
1423.64,0.003989596181090452
1427.22,0.005509521463814353
1430.8,0.008398600248314842
1434.38,0.009297873911315964
1437.95,0.01034532251952438
1441.52,0.012739602598650202
1445.08,0.014470668100681663
1448.65,0.015520837906571602
1452.2,0.015620950477635004
1455.76,0.01394203530487409
1459.31,0.008628749969898564
1462.86,0.009393625510004186
1466.4,0.021409833932975075
1469.94,0.023038021853585083
1473.48,0.030384775251260286
1477.01,0.034746743692937475
1480.54,0.035824303869144314
1484.07,0.03357724158303331
1487.59,0.013215307554089617
1491.11,0.00562892626570952
1494.63,0.003968593995638783
1498.14,0.002882654032819748
1501.65,0.002747501693626804
1505.15,0.0024345381655549426
1508.65,0.0024786606529259574
1512.15,0.002355539883023279
1515.65,0.0023177902829145695
1519.14,0.002638714792575212
1522.62,0.002621522594382634
1526.11,0.0025825589715522262
