wavenumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
431.534,705.8052619,1016.545108,938.7297548,649.9700324,778.6958613,691.2018851,767.0845279,784.9663423,798.5292604,634.8715058,584.8491804,418.0395619,657.0990358,883.8110685,593.2855307,581.0962704,861.248221,631.6588226,1000.109334,594.0250707,770.9977008,770.9977008,765.9495471
432.618,664.4778492,1119.286487,939.5515027,585.2197621,718.2465391,724.7493185,799.7827342,763.3854959,822.124481,612.8742889,568.833855,444.267667,659.848358,797.8304862,651.6489738,589.2392788,946.9078679,586.9821644,979.4515192,611.657006,670.919424,670.919424,720.7617954
433.704,738.9724339,1119.308862,937.9132179,635.5634898,785.7442143,775.0727494,831.8509379,790.6716211,785.296672,619.5250695,551.2245275,465.1387705,687.5686778,828.7788695,667.9834145,603.0022848,893.1875118,579.3145039,1027.973667,663.4589391,792.5001446,792.5001446,765.745041
434.788,676.6330159,1154.423233,975.0848984,546.4532153,764.3148868,716.2861777,822.8191389,819.9357162,796.4148312,651.1078477,631.1821978,453.9948722,601.5079948,871.8502162,676.2478527,629.7212882,956.3771525,576.430841,976.5957751,696.1288698,785.6498622,785.6498622,777.7562836
435.871,721.808595,1141.8626,969.1965416,549.2999385,711.7385565,741.1996033,764.297337,821.716779,737.7919565,607.4216231,544.9498656,389.6259719,656.0783091,732.1765236,567.9262882,621.581289,968.2467899,551.5931755,917.9578405,618.6327979,749.4955769,749.4955769,734.694523
436.955,775.2721709,1201.904963,1018.458145,608.2106592,825.4892231,799.2130259,844.525532,817.0698075,816.0870457,685.9543957,635.1435308,470.4440696,746.5126204,839.6747894,648.8967209,610.6842869,987.4864236,626.9245073,1017.379861,694.5887233,835.5652882,835.5652882,874.5067591
438.038,692.7057436,1126.812321,928.8997068,496.1423772,800.4458864,758.8564454,816.2737237,813.3117995,750.0650964,609.1471652,543.3361932,430.8501651,599.8039285,805.6240108,619.5471504,548.2932817,908.3360534,541.3908361,919.1718323,599.5746457,744.2219961,744.2219961,728.4819916
439.123,681.8233127,1057.223675,894.4812236,491.6080924,728.5215462,695.5158615,707.1219119,699.2467528,702.4201063,537.8409315,501.1518528,338.8532583,617.6132332,714.5751852,584.6875767,561.2702733,879.7256792,520.1901618,951.4937528,574.4065651,678.6047004,678.6047004,655.9642202
440.204,673.7218782,1077.817023,862.0026928,513.8298045,740.3482023,695.7082741,779.2100963,734.1676651,679.6690728,584.2676943,493.0715092,383.893349,580.3295342,720.1303097,657.5099996,526.4852615,876.9853005,491.7274841,885.555619,582.4134811,712.3674007,712.3674007,668.9804449
441.287,615.9864397,1031.468366,821.4741118,463.5875135,595.9998544,613.3346829,737.5382768,673.5915339,655.2379934,517.7144535,457.5871623,332.5144371,545.9198315,610.8793815,622.9784188,519.3682461,726.3939173,453.324803,817.0444277,470.0813937,657.1290969,657.1290969,651.7486653
442.37,623.595997,966.8757036,815.2554774,423.6312191,641.3485025,654.4850877,679.5664531,641.6473568,674.2518656,469.6422088,464.641812,376.0605225,589.8851248,671.0933977,545.4098342,502.2242268,742.5295291,474.9501182,854.5951756,495.8863027,625.0727888,625.0727888,611.5948812
443.452,489.32505,818.4520347,724.4277869,397.5779211,506.3041461,537.3794883,570.085625,560.9151312,555.2056865,423.4279601,336.396458,228.110605,474.6104138,591.4793553,426.4112454,399.4162035,653.8291358,424.8964294,741.2648593,381.7822077,547.9644761,547.9644761,495.8740923
444.535,538.3759984,866.2483595,722.9290371,442.5216194,594.2597851,514.1548845,619.0827922,559.3708546,572.4724536,390.0457071,443.1571001,271.7636844,457.8296984,676.8562512,469.5576524,448.629176,659.990737,451.3297366,724.5944756,463.0401087,520.5331585,520.5331585,518.3102985
445.615,459.162142,661.9596775,628.9432248,362.7723137,495.7404192,476.904276,491.6519544,554.0535242,517.6481639,305.7524496,361.6237381,225.8517606,388.3099782,580.3730823,367.6850549,382.4671441,558.9083325,389.9610394,752.9940208,356.9130054,484.6258358,484.6258358,436.4084994
446.698,433.4184804,619.8669883,621.4573468,342.7860038,418.1600483,424.6236625,507.0131114,453.4511374,465.3688147,369.9971874,338.9163719,264.7528335,405.4312532,563.9618453,333.8494526,347.5581074,501.8209219,343.0933377,736.8664914,351.2058976,432.7925078,432.7925078,494.7666948
447.78,360.5220135,531.4342917,541.6894,336.4886896,356.0816719,429.4270439,484.291263,455.2536914,455.429403,279.8739202,303.0870011,198.2179028,312.4935229,539.9925372,398.7098453,289.4620659,408.463505,317.2726313,610.5458838,278.8367851,398.3271742,398.3271742,380.2968843
448.86,336.583241,503.9325872,493.2383808,294.0773708,316.1062898,364.8394199,424.5024088,391.3901834,420.4799259,304.2976479,251.4616257,182.4479684,363.6797873,609.3221545,319.3352327,290.4790193,403.7350814,316.3359198,606.1071942,330.2586676,400.7678347,400.7678347,340.6240679
449.939,306.1477627,416.3308745,409.676286,229.4990472,277.9969019,280.8477902,300.9385487,354.3326105,407.7453803,240.9143701,294.1812454,150.9840302,260.498046,470.6856939,313.0226148,215.6834673,293.6396508,319.1562031,613.7504188,222.697545,358.871489,358.871489,250.076045
451.021,273.8082782,355.5231532,439.9651121,238.9907186,273.2515078,290.3441545,375.4006822,356.1589698,356.2337633,235.8170867,257.4968599,176.932088,226.6742987,595.7311519,324.4169911,259.2699097,278.8532129,310.085481,539.2015538,241.872417,279.1101369,279.1101369,281.5829156
452.101,270.0977874,402.071423,438.9338556,273.6033848,257.4741072,289.7775126,303.8068091,335.8192583,397.3310716,253.9117974,203.2914691,140.9551415,291.0035453,546.0675252,302.6213614,236.2738463,263.2237674,322.4297532,577.6495952,222.2602834,333.5947781,333.5947781,239.9931793
453.18,238.5732899,305.0716833,314.694513,197.1060455,221.3136999,270.7138643,332.2259292,262.6474732,349.5613023,176.606502,279.6970727,138.3061907,220.1587855,538.9958102,182.6067256,158.5760769,246.675314,261.6300195,505.9295392,186.8881439,244.5634123,244.5634123,215.9475357
454.262,222.7877856,268.1937339,386.8070807,282.7197006,202.6772856,199.6342092,326.3030421,250.5506114,380.5004522,218.7882002,302.3686705,162.5082354,301.263019,481.7750033,261.7290833,201.3111012,243.9618523,252.6042797,536.9683817,178.3209983,261.0690393,261.0690393,242.8713848
455.341,180.133274,184.8744743,306.713555,126.1483497,109.7108641,82.89554709,234.8511476,204.9986698,313.954518,87.47489185,163.4792623,66.96427534,135.6062456,457.7511008,223.9004342,166.146819,116.809382,200.7415334,471.3971187,148.3258463,143.8926587,143.8926587,152.001626
456.42,116.178755,144.1935042,237.5729325,104.8339928,124.2504349,137.6498777,182.1532454,172.3746454,251.9054965,68.3243766,153.3438478,39.94731041,103.420465,429.8590992,134.8627782,99.40032994,59.07390275,213.6537805,406.5557459,91.32468783,127.6982702,127.6982702,83.3641592
457.499,76.38922833,172.1829231,286.1952093,179.0236295,150.8079979,126.4632008,159.974335,203.7545352,289.0783845,96.47925424,97.65442685,104.7453404,101.8296769,437.1389946,220.179115,106.8775339,94.06841426,204.2030208,441.8282593,76.95552252,173.6208736,173.6208736,127.0150841
458.578,89.48769362,117.5826307,227.1793818,144.6492596,129.1145528,124.559516,221.3164164,135.843336,290.9941787,90.30292451,194.1529992,76.7543652,111.3748811,420.2967833,181.1564443,119.9227406,147.6279162,214.2442538,355.5436546,60.73135017,71.07346852,71.07346852,97.35740026
459.654,128.5301506,125.1443266,222.0414463,130.7508829,115.8120993,124.5678231,186.2264891,170.9520448,272.5428757,124.9795872,145.0305645,79.42738457,119.0850772,482.4134616,161.6907658,106.9835998,126.0744081,175.1754795,389.0399276,90.94217052,142.1030547,142.1030547,72.31750754
