Wavenumber,Average_Intensity
1252.14,578.2337350260868
1253.01,599.2100332739129
1253.88,616.9947715826087
1254.75,617.7595112434782
1255.62,638.067683073913
1256.49,616.2011527173914
1257.36,661.8535683608695
1258.23,664.3684912217392
1259.1,692.7003955739132
1259.97,707.0944078391304
1260.84,695.9556109565217
1261.71,713.0899138739131
1262.57,725.2308777913042
1263.44,739.6086290217391
1264.31,779.7724243782609
1265.18,801.2063900565215
1266.05,872.2353482000002
1266.91,884.7494250000002
1267.78,951.9622249260868
1268.65,1048.9116567956523
1269.51,1123.2700208782608
1270.38,1231.780269352174
1271.24,1388.0344413869566
1272.11,1524.1802284260866
1272.97,1648.721886973913
1273.84,1791.471977713044
1274.7,1940.3955398826088
1275.57,2053.0340035695654
1276.43,2130.4911472521735
1277.3,2208.1834874608694
1278.16,2257.782324565217
1279.02,2294.1067839434777
1279.89,2326.562078313043
1280.75,2334.345594043478
1281.61,2331.7638482
1282.48,2340.3729225869565
1283.34,2309.0749862782604
1284.2,2265.3700338521744
1285.06,2211.825451852174
1285.92,2134.0877566956515
1286.78,2042.1338560173913
1287.65,1952.4836140869568
1288.51,1826.2375038608693
1289.37,1719.414259169565
1290.23,1625.5749175869562
1291.09,1551.0431261521735
1291.95,1457.5526179478263
1292.81,1402.6197356304347
1293.67,1327.3392994565218
1294.52,1312.8503904217393
1295.38,1253.6533073260869
1296.24,1236.798174726087
1297.1,1210.8475086608696
1297.96,1185.9049118260868
1298.81,1155.0022481565218
1299.67,1116.527989534783
1300.53,1111.3043913608697
1301.39,1105.1208819347826
1302.24,1064.0235861
1303.1,1028.7361931652174
1303.95,980.5273494173913
1304.81,939.5536137956519
1305.67,919.6764151000001
1306.52,879.1039209521739
1307.38,840.7049948086955
1308.23,806.4737173608696
1309.09,773.3271693782607
1309.94,726.1519533000001
1310.8,696.4678019695652
1311.65,670.1281004086956
1312.5,648.599711847826
1313.35,627.1280212956522
1314.21,614.5850224043479
1315.06,597.3847087826088
1315.91,580.2375523391305
1316.77,560.3046336478261
1317.62,573.831859352174
1318.47,576.228831726087
1319.32,574.1889791000001
1320.17,563.5855124826086
1321.02,582.7166427347827
1321.87,592.4931460521739
1322.73,587.4037985304348
1323.57,594.2798980391303
1324.43,594.3499598
1325.28,602.7034120391305
1326.13,618.6097265173912
1326.97,620.1593749347826
1327.82,627.4908289695653
1328.67,633.3047776956522
1329.52,641.4244753869565
1330.37,658.0993936826086
1331.22,666.0507433565217
1332.06,677.1433872999999
1332.91,672.7293623608695
1333.76,673.8090531608696
1334.61,690.1510616608696
1335.45,701.6426420652173
1336.3,694.1235267652173
1337.15,710.2441002956521
1337.99,702.3500515782608
1338.84,722.9859825043478
1339.68,737.2649297739129
1340.53,743.2221474043477
1341.37,739.6427590478261
1342.22,745.7778882521739
1343.06,733.822745543478
1343.91,744.1568022695653
1344.75,763.3208341826087
1345.6,760.1325299739132
1346.44,776.4157522608697
1347.28,768.8548853782607
1348.12,772.9804006782608
1348.97,763.5147258130435
1349.81,766.4572017086958
1350.65,790.2665603608694
1351.49,787.4970556217392
1352.33,787.368463021739
1353.18,796.5919928260868
1354.02,809.277420504348
1354.86,820.3884346652175
1355.7,842.9316367347826
1356.54,867.3072804521738
1357.38,874.523489021739
1358.22,901.5946030956522
1359.06,904.770267578261
1359.9,918.9013881391304
1360.74,933.5267838217393
1361.58,945.3392295826087
1362.42,946.9658486826088
1363.25,936.9583294521738
1364.09,921.5316209478259
1364.93,923.8974113782607
1365.77,929.2678237869567
1366.6,920.6664159652172
1367.19,917.0324845695653
1368.1,924.0402832260868
1369.01,919.4190215260869
1369.92,916.6785616956522
1370.83,887.6206350434783
1371.74,883.4013645695652
1372.65,882.1590903478261
1373.56,859.2927613173915
1374.47,860.1371523391305
1375.37,818.7374731260869
1376.28,794.3959768130435
1377.19,807.1198730260869
1378.1,777.719588773913
1379.0,765.717681478261
1379.91,761.0064911434782
1380.82,755.0927490652172
1381.72,716.5450995869567
1382.63,725.3445347869565
1383.54,710.5894381130435
1384.44,696.0190625086958
1385.35,693.4469652521739
1386.25,681.9090079956521
1387.16,666.6680957434784
1388.06,685.0655684043478
1388.97,690.3608527347825
1389.87,689.254853752174
1390.78,717.6388243130435
1391.68,745.7357563434781
1392.59,772.8847286956523
1393.49,784.254733352174
1394.39,778.2729361086956
1395.3,735.6266330869565
1396.2,686.4027292608696
1397.1,653.2607816565217
1398.0,602.3892603695651
1398.91,558.4062876130433
1399.81,525.8788986304348
1400.71,482.14343303478256
1401.61,483.90070868260875
1402.52,471.19832595217383
1403.42,462.9937114130435
1404.32,453.85933504347827
1405.22,454.05405809130446
1406.12,460.90874180434787
1407.02,437.0147257434782
1407.92,438.77026241739134
1408.82,453.1088652391304
1409.72,440.0566997782611
