Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
468.812,88.4937944,127.1212814,645.0264624,319.2641643,491.653552,368.6859962,116.5719221,70.74321261,279.1553184,153.0766201,503.0742424,-1.583316475,29.59858815,252.7814433,151.2099394,-2.914558577,-3.111417574,209.0766053,125.2473356,-4.159759333
473.113,281.6450804,267.5649119,795.0254032,528.2961269,626.2943009,448.3367864,224.1751312,231.5511742,435.0572104,385.7114301,780.570974,277.9840802,192.8777251,415.6631222,268.2767447,238.2842962,229.693013,343.2269708,207.965774,350.5843106
477.412,194.6364396,235.1145129,779.8150893,494.5080635,685.2550197,504.9495436,242.0680938,59.02300984,240.6090734,381.5262458,643.1976765,215.9314661,243.6416067,467.7743691,299.1912956,196.0831545,130.7594547,319.1184073,190.5309702,306.565399
481.707,345.3979145,438.1600818,1086.339189,752.2299716,843.6357056,798.7952646,443.6907862,396.6347487,640.0409044,492.5410819,961.0243469,404.6088543,411.1812087,806.5751421,491.5035675,452.5380432,324.0879368,511.8332969,475.3159013,475.1225451
485.998,238.6195474,671.8796156,1138.309363,672.4618486,980.2763553,905.8689461,515.7331847,503.5424199,730.3727007,740.805953,1015.050982,611.3962583,641.2565064,1147.725399,554.5705358,528.095989,342.8414885,613.8395413,471.141544,504.5277883
490.282,333.461381,1189.947111,1305.07526,1149.063692,1319.396966,1395.422585,899.4352649,791.5490522,1167.104459,1033.680874,1333.037579,955.8436912,952.9554748,1763.185097,889.8771751,918.2840185,720.064139,1115.388412,817.1458745,855.2631679
494.565,737.1134574,1624.132566,1690.61652,1510.875498,1648.877534,1821.356177,1226.757002,1212.492674,1684.766177,1513.845859,1637.504134,1420.951166,1389.814088,2524.104191,1319.30346,1255.952158,1022.030917,1477.091878,1241.819869,1164.758723
498.844,882.745819,1984.507977,1896.902767,1696.937265,1981.648055,2210.929719,1512.528371,1427.686312,1976.577851,1941.850922,1937.460645,1738.418696,1528.06232,2947.672635,1565.639363,1507.290435,1179.267853,1781.054911,1460.653501,1371.494493
503.116,896.6285081,2160.03334,1967.413609,1775.63899,1883.408528,2226.953208,1540.489344,1401.929993,2060.819478,1841.496078,1997.637107,1781.436294,1505.260143,2870.940382,1563.494856,1554.098875,1268.814974,1688.167478,1488.816746,1483.720517
507.389,1051.441567,2084.518653,2019.488636,1824.890669,2137.228946,2141.266639,1587.469893,1420.833742,1927.411054,1904.041341,2147.553516,1683.243973,1633.057526,2977.417378,1511.22991,1690.287505,1302.722311,1741.699545,1557.469576,1516.836834
511.654,1126.255038,2148.663911,1924.697417,1704.512298,1978.889308,2300.620007,1563.649988,1455.737582,2013.482576,1925.106724,2087.01987,1903.461745,1824.704439,3083.223571,1616.094494,1771.266351,1223.459891,1911.951077,1427.89196,1686.053483
515.916,751.958962,2466.63911,1938.419502,1762.043876,2140.519608,2592.39331,1876.369597,1758.641535,2211.124039,2116.762242,2041.656163,2028.159623,1877.00085,3472.028902,1778.668575,1935.535438,1503.447743,2089.762037,1636.71387,1725.930501
520.173,768.933382,2921.424247,1964.944422,1905.005396,2363.279842,2990.886541,2098.078688,2050.575622,2617.56544,2393.347908,2361.442391,2451.377619,2272.726723,3945.543312,2087.482119,2135.564792,1672.685896,2505.982385,1838.755272,1983.067928
524.427,716.4683395,3203.739318,2256.121686,2119.146857,2767.760005,3353.499696,2532.857226,2335.579861,2783.466774,2614.523735,2889.68855,2883.425745,2797.452023,4358.026736,2434.23509,2719.86444,2137.654379,2832.83208,2061.856132,2421.645803
