Wavenumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
477.412,665.7830207,2232.448834,1844.94863,396.9118078,1627.938662,1470.13111,409.3392474,2385.240399,2289.05889,1789.979486,2046.147878,2168.792377,1502.6004,1100.067316,1518.049348
481.707,895.2432034,2634.196472,1929.937925,553.6440535,1865.683282,1569.680659,479.9404351,2714.038478,2571.285455,2080.176402,2336.747313,2592.087498,1695.192581,1243.051629,1787.938844
485.998,1413.682864,3272.223186,2435.106531,989.6658822,2333.277189,1950.599638,856.3612414,3854.595414,3248.171163,2471.192652,2865.885959,3015.79176,2283.69413,1611.755438,2257.317678
490.282,2162.821957,4295.778891,3298.124386,1649.957259,3254.610318,2686.807992,1476.901635,5370.991102,4091.595932,3192.078176,3747.583742,4023.415083,2906.494989,2264.018697,3032.305788
494.565,2838.800438,5313.033497,3784.571422,2085.218148,3904.242603,3083.385668,1904.241583,6607.655436,4929.239681,3701.062908,4370.360586,4871.187384,3615.615098,2767.16136,3596.423113
498.844,3254.618258,5723.356913,4136.567571,2476.268511,4441.593973,3407.622608,2288.431052,7451.798304,5455.372321,4083.666779,4971.426411,5274.168575,3931.804395,3170.033377,4105.589587
503.116,3250.665366,5719.74904,4111.85276,2506.37831,4255.474353,3320.608752,2231.250005,7318.139588,5354.013759,4049.129719,4886.141133,5185.508567,3854.982812,3029.534696,4036.035141
507.389,3189.991709,5653.519774,4121.82691,2620.717501,4340.623665,3465.714035,2391.118406,7308.839162,5384.853898,4064.581651,5017.564661,5298.077261,3894.020279,3104.025261,4112.309701
511.654,3475.697228,6101.279006,4222.109941,2749.79604,4558.421824,3561.848391,2567.526213,8061.166892,5720.742634,4192.392495,5257.166902,5492.414555,4082.896721,3332.845014,4357.783189
515.916,4230.541862,6915.316619,4864.911767,3393.34388,5404.028744,4126.301748,3172.873383,9258.992638,6460.289859,4844.752167,5978.877756,6320.850342,4638.29206,3906.563894,5106.975526
520.173,4916.215549,7925.502493,5686.852297,4065.250971,6119.634332,4687.334032,3704.799872,10774.51625,7454.295458,5536.79058,6761.477118,7283.37451,5428.396214,4503.761836,5842.166624
524.427,5526.52822,8885.876499,6105.821438,4553.457258,6803.488491,5248.085166,4324.085631,12071.23757,8077.999311,6183.49764,7613.364879,8080.806937,6149.479096,5100.198771,6447.496394
528.678,6310.299801,9837.348502,6907.659088,5405.112686,7549.701117,5940.075066,4986.810607,13043.15643,8941.871289,7126.053249,8542.65092,8954.537499,7209.120613,5862.484626,7256.594737
532.922,6808.310213,10530.41836,7259.115142,5895.927192,7921.322099,6601.663643,5613.584745,13691.77266,9469.841255,7674.687302,9167.635116,9542.266061,7667.580666,6435.599323,7838.081552
537.162,6580.289372,10023.5859,6827.989485,5487.140708,7522.461321,5979.020803,5116.737982,13495.68604,9177.509065,7054.819686,8664.117335,9150.692478,7160.08915,5871.272777,7544.086728
541.399,5520.677186,8835.050984,5888.001998,4649.70316,6618.968655,5087.206446,4228.330251,12014.59639,8122.674563,5957.210284,7351.127433,7768.216598,5885.415952,4966.654897,6430.620145
545.633,4464.143556,6937.813419,4487.522552,3481.494471,5204.923969,3780.930465,3214.151481,9789.603468,6528.907585,4602.758967,5874.215259,6225.158259,4574.66095,3795.565588,5014.25168
549.864,3346.578378,5474.143024,3540.031014,2589.174557,4036.647121,2976.642747,2418.981595,7748.607054,5145.36796,3499.115604,4455.450655,4905.88729,3562.504017,2878.984748,3917.431198
554.088,2409.101544,4265.879609,2378.527247,1764.60333,2999.897968,2140.283178,1685.060513,5799.766901,3943.205509,2610.170057,3401.113455,3635.173515,2615.915024,2126.002272,2896.238564
558.309,1880.642941,3380.562976,1872.451109,1273.150701,2405.31636,1630.831637,1240.268153,4701.792757,3232.260048,2056.852185,2748.203491,2915.516753,2005.973835,1670.008051,2273.393636
562.527,1396.102457,2735.792925,1325.482456,904.8465794,1888.732144,1234.338005,790.8244307,3747.864368,2584.721389,1490.251846,2060.700591,2267.556819,1586.900312,1231.931975,1731.996269
